Product,Customer Name,Rating,Heading,Comment
nokia,Flipkart Customer,4,Nice product,"This is a very good product, battery backup is satisfied me , touchpad is very soft and smooth .The one and only reason of good battery back up is there is no camera, wi-fi and  Bluetooth  connectivity option which is not a big issue.According to me it is a very good option  for calling purpose. I love this product for duel sim feature, good battery life and for its decent keypad."
nokia,Pratyush Roy,5,Brilliant,"Best for your Grandparents because of following reasons:1) Well Spaced Key Pads2) Rigid Body3) Better grip because of size4) Big display to see the names, numbers, etc. Properly"
nokia,Nishanth Mabian,5,Best in the market!,Nice phone
nokia,Lijo Vincent,5,Fabulous!,Super 😚💟
nokia,Flipkart Customer,5,Excellent,Spr Phone Amazing ......Best price....
nokia,Flipkart Customer,4,Pretty good,Very very nice phone and no camera
nokia,Abdul Azees,4,Value-for-money,Good product not Camara and music player look wies super and cool product
nokia,Akhilesh Singh,1,Very poor,Very bad battery backup
nokia,Sushant kumar  Senapati ,5,Highly recommended,Very nice product Thanks for Flipkart
nokia,Flipkart Customer,5,Simply awesome,It's a good product in my Life very best experience thank you flipkart
nokia,No Name,No Rating,No Comment Heading,It's a good product in my Life very best experience thank you flipkart
